"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20242","11","서울시","CS200024","스포츠클럽","113786745837","571084","99555929875","14230815962","22962896797","20744303123","17666936580","18410915302","19770878073","8648049616","5582766346","851586536","10940025906","19817859013","22074268603","44831478742","15271527037","50802479666","56667627668","383945684","23117579380","32816866400","18004402562","21769114364","11376779684","431450","139634","97990","89573","82631","78256","83000","75916","63718","29611","71823","92855","103230","190113","83452","317654","243576","9670","140887","165279","87396","102203","55796"
"20242","11","서울시","CS200019","PC방","92182232901","16965801","59430833319","32751399582","11365904840","11010533692","12044700971","11544281671","13465412145","17072659478","15678740104","13299206176","5787834272","10970634968","16190064653","27785779799","18148713033","74288396305","17866801757","5504008401","39550568931","28673456274","8901681867","7655806531","1869676057","11007226","5958575","2082713","2053800","2228977","2138113","2503623","3077612","2880963","2349095","973313","1971961","3173665","5194467","3303300","13460838","3502898","1397846","7553047","4726343","1613809","1362024","310661"
"20242","11","서울시","CS200017","골프연습장","71844305676","1555369","48480041741","23364263935","10500902283","9450936993","10226310914","8988416863","9313474688","11522578721","11841685214","2950201878","7020929463","11723260362","14349137227","23210512047","12590264699","48398682681","15326677385","17556242","2298730782","11132420779","18049890390","21686125492","10540636380","994963","560406","191367","189290","219164","192679","202463","275732","284674","58441","142172","293841","310017","478361","272537","1158146","283941","709","48631","231655","403860","516463","240808"
"20242","11","서울시","CS200016","당구장","36799053761","1769573","25604253772","11194799989","4745158548","4966411276","5074266517","5545926534","5272490897","6359753126","4835046863","2369041784","1725954739","3004972210","6026586493","15063241370","8609257165","27345475201","8061659570","415798551","4086188551","6159285712","6582828476","9759590891","8403341384","1166410","603163","208690","227410","235420","229776","265114","335048","268115","137478","23547","97918","285265","730473","494892","1507452","236165","44855","220365","217728","288346","508239","464079"
"20242","11","서울시","CS200008","한의원","257913270157","7240833","208322508776","49590761381","48544936668","43270803367","35499268694","34343111760","46664388287","44720196115","4870565266","10910395","33489448929","92073672721","74967181395","56669709718","702346999","94939206195","161020623898","167042323","14943847577","41999732892","55248152721","64295000050","79306054526","6114293","1126540","1372643","1225781","1074899","1049984","1390986","978967","147573","60","1288654","2369669","2009456","1564911","8083","3148399","4076096","10437","320459","873130","1174133","1539147","3307201"
"20242","11","서울시","CS200007","치과의원","667778836554","4493930","581988903019","85789933535","128867700146","134007545489","99578742155","90895753596","128639161633","81760179337","4029754198","276610","89569710978","229258959519","212478548368","135183319669","1288021410","336314933531","328665779461","544467117","40058246851","91067201600","131830156853","174750705360","226728055465","3867248","626682","859532","883277","647154","604375","872910","603931","22751","14","828675","1338442","1512166","811702","2931","2222967","2262974","9381","352358","726169","982484","1039696","1375827"
"20242","11","서울시","CS200006","일반의원","1797719886363","46250780","1511815817288","285904069075","335733788199","320246582649","229391837976","269088618708","357354989756","272756091977","13147977098","581723203","412275883349","563901496337","519217692346","299168483809","2574607319","688434261181","1105648531963","3649850201","187938130267","387402992737","412273224659","399190326591","403628230754","39777443","6473337","9436359","8204699","5981169","7181350","8973866","6070514","402823","1852","12587162","12250801","14313193","7057477","40295","20958639","25269576","262327","3477220","8257728","10440069","9655576","14135283"
"20242","11","서울시","CS200005","스포츠 강습","128793186579","566605","116942826515","11850360064","27056445287","25494733100","20948745957","20666945408","22775956763","8354016328","3496343736","296505742","11315691681","21160846384","28068292846","56131604848","11820245078","46765248309","77484593045","229994674","12578429390","32214642088","51725428093","19929179553","7572021388","478838","87767","110925","101682","89740","83558","92933","51765","36002","6499","50055","77645","139303","238343","54760","246092","307236","6647","62299","125691","250656","76978","31080"
"20242","11","서울시","CS200003","예술학원","143032199042","654379","119217228048","23814970994","26037263692","25884889531","22483349062","22082176427","22729549336","18286296355","5528674639","556504868","9135168330","22525953899","49049865829","53016663160","8748042956","57557977335","83794331758","410538365","7175697809","21519211659","79722157331","27738065801","4786638135","570984","83395","128591","122933","107997","105590","105873","64128","19267","2754","36938","106242","248469","230007","29969","257646","391874","2222","34385","116867","391959","83813","20284"
"20242","11","서울시","CS200002","외국어학원","85795941903","213568","79181808294","6614133609","18594554070","17882431558","13674263844","13659460295","15371098527","4475237488","2138896121","718333384","15887821204","15465579101","25877402146","22656702259","5190103809","35891861904","49031688581","44323022","1670767166","14702404396","54291557320","11089511946","3127752728","191195","22373","44819","43982","33094","33383","35917","15243","7130","1922","30176","34896","63437","68571","14566","84955","126306","544","8540","30624","133813","29369","8378"
